signal_id,country,county,category,consumer_segment,time_period,observation_count,text,clicks,likes,comments,shares,saves,views,searches,hashtags,mentions,complaints,purchase_intent_phrases,repeated_engagement,ignored_content,delayed_responses,demand_classification,aggregate_demand_score,opportunity_score,emerging_trend_probability,unmet_demand_probability,market_gap,supply_shortage,scalability,competition_intensity,trend_direction
agg-00028,Kenya,Mombasa,clean_energy,rural_producers,2026-Q1,312,county-level comments discuss solar kits battery replacement repair support reliable power in Mombasa; rural_producers are searching and evaluating options; positive discovery and saves,295,152,38,20,30,2864,94,8,24,9,3,43,73,4,Low demand,0.4291,0.3831,0.3831,0.3616,0.3616,0.4489,0.8696,0.4669,stable
agg-00029,Kenya,Mombasa,digital_services,budget_seekers,2026-Q1,254,county-level comments discuss online payments analytics dashboard mobile onboarding in Mombasa; budget_seekers are ready to buy comparing suppliers; complaints delays and unmet need,133,64,21,15,20,1502,84,11,21,4,11,35,169,1,Unmet demand,0.5078,0.6433,0.6433,1.0,1.0,0.9836,0.967,0.4226,stable
agg-00030,Kenya,Mombasa,digital_services,growth_smes,2026-Q1,139,county-level comments discuss online payments analytics dashboard mobile onboarding in Mombasa; growth_smes are ready to buy comparing suppliers; positive discovery and saves,408,218,46,54,62,2078,110,23,8,1,18,170,23,0,High demand,0.8679,0.5842,0.5842,0.074,0.074,0.1492,1.0,0.4121,stable
agg-00031,Kenya,Mombasa,digital_services,urban_youth,2026-Q1,216,county-level comments discuss online payments analytics dashboard mobile onboarding in Mombasa; urban_youth are ready to buy comparing suppliers; complaints delays and unmet need,242,91,34,12,36,1872,121,9,12,4,26,66,108,2,Moderate demand,0.6909,0.6291,0.6291,0.5783,0.5783,0.6562,1.0,0.4221,stable
agg-00032,Kenya,Mombasa,digital_services,rural_producers,2026-Q1,326,anonymous hashtags show online payments analytics dashboard mobile onboarding in Mombasa; rural_producers are searching and evaluating options; complaints delays and unmet need,142,34,19,17,23,2969,97,15,25,4,8,27,304,0,Unmet demand,0.4684,0.6184,0.6184,1.0,1.0,1.0,0.9321,0.4567,stable
agg-00033,Kenya,Mombasa,retail,budget_seekers,2026-Q1,70,aggregate posts mention fair prices product availability delivery reliability in Mombasa; budget_seekers are searching and evaluating options; complaints delays and unmet need,13,4,2,1,2,410,14,0,2,0,0,2,19,0,Low demand,0.3688,0.553,0.553,1.0,1.0,0.9649,0.9974,0.4301,stable
agg-00034,Kenya,Mombasa,retail,growth_smes,2026-Q1,266,anonymous hashtags show fair prices product availability delivery reliability in Mombasa; growth_smes are searching and evaluating options; complaints delays and unmet need,163,51,11,10,28,2264,124,17,21,2,8,17,224,0,Unmet demand,0.4535,0.6416,0.6416,1.0,1.0,1.0,0.8695,0.4205,stable
agg-00035,Kenya,Mombasa,retail,urban_youth,2026-Q1,146,aggregate posts mention fair prices product availability delivery reliability in Mombasa; urban_youth are searching and evaluating options; complaints delays and unmet need,201,68,23,9,40,1580,57,5,12,2,6,36,69,1,Moderate demand,0.5351,0.4801,0.4801,0.45,0.45,0.3915,0.9341,0.4325,stable
agg-00036,Kenya,Mombasa,retail,rural_producers,2026-Q1,243,aggregate posts mention fair prices product availability delivery reliability in Mombasa; rural_producers are searching and evaluating options; complaints delays and unmet need,116,60,15,8,9,1614,78,10,11,3,7,17,56,0,Low demand,0.4023,0.4653,0.4653,0.6305,0.6305,0.5666,0.7491,0.505,stable
agg-00037,Kenya,Mombasa,transport,budget_seekers,2026-Q1,105,aggregate posts mention route reliability parcel tracking last mile access in Mombasa; budget_seekers are searching and evaluating options; complaints delays and unmet need,40,15,4,3,1,541,40,2,3,0,3,4,75,0,Low demand,0.3971,0.5992,0.5992,1.0,1.0,1.0,0.8634,0.5536,stable
agg-00038,Kenya,Mombasa,transport,growth_smes,2026-Q1,221,anonymous hashtags show route reliability parcel tracking last mile access in Mombasa; growth_smes are ready to buy comparing suppliers; complaints delays and unmet need,192,68,16,26,31,2467,78,10,19,1,10,48,114,1,Unmet demand,0.5804,0.6076,0.6076,0.7808,0.7808,0.796,1.0,0.5055,stable
agg-00039,Kenya,Mombasa,transport,urban_youth,2026-Q1,161,county-level comments discuss route reliability parcel tracking last mile access in Mombasa; urban_youth are searching and evaluating options; complaints delays and unmet need,43,15,2,2,5,1086,39,4,8,0,5,8,116,0,Unmet demand,0.4653,0.6069,0.6069,1.0,1.0,1.0,1.0,0.5114,stable
agg-00040,Kenya,Mombasa,transport,rural_producers,2026-Q1,106,anonymous hashtags show route reliability parcel tracking last mile access in Mombasa; rural_producers are searching and evaluating options; positive discovery and saves,86,28,15,5,4,904,39,3,4,1,2,21,23,1,Low demand,0.4446,0.3974,0.3974,0.3465,0.3465,0.4271,0.9335,0.5933,stable
agg-00041,Kenya,Kisumu,agri_inputs,budget_seekers,2026-Q1,68,aggregate posts mention seed quality fertilizer access harvest timing farm input supply in Kisumu; budget_seekers are searching and evaluating options; complaints delays and unmet need,29,15,3,4,4,328,7,1,1,0,0,3,19,0,Low demand,0.3879,0.4874,0.4874,0.8312,0.8312,0.8071,0.7136,0.5059,stable
agg-00042,Kenya,Kisumu,agri_inputs,growth_smes,2026-Q1,182,aggregate posts mention seed quality fertilizer access harvest timing farm input supply in Kisumu; growth_smes are searching and evaluating options; positive discovery and saves,57,21,6,5,7,657,52,3,7,0,5,6,15,0,Low demand,0.4455,0.3786,0.3786,0.3333,0.3333,0.3416,0.9566,0.4077,stable
agg-00043,Kenya,Kisumu,agri_inputs,urban_youth,2026-Q1,152,anonymous hashtags show seed quality fertilizer access harvest timing farm input supply in Kisumu; urban_youth are searching and evaluating options; complaints delays and unmet need,56,15,7,2,3,985,35,6,3,1,5,12,111,0,Low demand,0.4077,0.5771,0.5771,1.0,1.0,0.9498,0.992,0.4087,stable
agg-00044,Kenya,Kisumu,agri_inputs,rural_producers,2026-Q1,121,county-level comments discuss seed quality fertilizer access harvest timing farm input supply in Kisumu; rural_producers are searching and evaluating options; complaints delays and unmet need,21,11,2,1,2,363,34,3,7,0,3,2,23,0,Low demand,0.4147,0.5896,0.5896,1.0,1.0,1.0,0.9183,0.5886,stable
agg-00045,Kenya,Kisumu,clean_energy,budget_seekers,2026-Q1,322,anonymous hashtags show solar kits battery replacement repair support reliable power in Kisumu; budget_seekers are ready to buy comparing suppliers; complaints delays and unmet need,22,11,1,1,1,839,91,16,9,0,11,2,28,0,Low demand,0.3465,0.5572,0.5572,1.0,1.0,0.9822,0.7854,0.4255,stable
agg-00046,Kenya,Kisumu,clean_energy,growth_smes,2026-Q1,201,county-level comments discuss solar kits battery replacement repair support reliable power in Kisumu; growth_smes are searching and evaluating options; complaints delays and unmet need,180,74,18,8,14,2372,56,10,13,3,6,33,237,0,Unmet demand,0.5095,0.6347,0.6347,1.0,1.0,1.0,1.0,0.4352,stable
agg-00047,Kenya,Kisumu,clean_energy,urban_youth,2026-Q1,136,anonymous hashtags show solar kits battery replacement repair support reliable power in Kisumu; urban_youth are ready to buy comparing suppliers; complaints delays and unmet need,47,12,8,3,10,573,69,6,14,0,10,5,18,0,Low demand,0.5012,0.4877,0.4877,0.4582,0.4582,0.4571,1.0,0.4366,stable
agg-00048,Kenya,Kisumu,clean_energy,rural_producers,2026-Q1,243,aggregate posts mention solar kits battery replacement repair support reliable power in Kisumu; rural_producers are ready to buy comparing suppliers; complaints delays and unmet need,117,60,8,10,5,1950,82,6,8,1,9,18,120,0,Low demand,0.4297,0.607,0.607,1.0,1.0,1.0,0.9975,0.5459,stable
agg-00049,Kenya,Kisumu,digital_services,budget_seekers,2026-Q1,202,aggregate posts mention online payments analytics dashboard mobile onboarding in Kisumu; budget_seekers are searching and evaluating options; complaints delays and unmet need,98,42,16,13,20,1883,62,11,15,2,5,26,186,1,Low demand,0.4414,0.6071,0.6071,1.0,1.0,1.0,0.9381,0.507,stable
agg-00050,Kenya,Kisumu,digital_services,growth_smes,2026-Q1,174,aggregate posts mention online payments analytics dashboard mobile onboarding in Kisumu; growth_smes are searching and evaluating options; positive discovery and saves,197,98,31,6,16,1968,49,7,8,3,7,32,22,0,Moderate demand,0.6772,0.4279,0.4279,0.1535,0.1535,0.0969,1.0,0.4706,stable
agg-00051,Kenya,Kisumu,digital_services,urban_youth,2026-Q1,314,anonymous hashtags show online payments analytics dashboard mobile onboarding in Kisumu; urban_youth are searching and evaluating options; complaints delays and unmet need,422,140,35,58,24,4012,54,5,5,4,3,45,335,3,Unmet demand,0.546,0.6331,0.6331,1.0,1.0,1.0,1.0,0.4098,stable
agg-00052,Kenya,Kisumu,digital_services,rural_producers,2026-Q1,171,county-level comments discuss online payments analytics dashboard mobile onboarding in Kisumu; rural_producers are searching and evaluating options; complaints delays and unmet need,49,24,2,7,8,711,45,9,4,0,4,12,49,0,Low demand,0.4389,0.598,0.598,1.0,1.0,0.9903,0.8221,0.3804,stable
agg-00053,Kenya,Kisumu,retail,budget_seekers,2026-Q1,85,aggregate posts mention fair prices product availability delivery reliability in Kisumu; budget_seekers are searching and evaluating options; complaints delays and unmet need,16,4,0,2,0,297,9,1,1,0,0,0,17,0,Declining demand,0.2951,0.5007,0.5007,1.0,1.0,1.0,0.7827,0.4971,falling
agg-00054,Kenya,Kisumu,retail,growth_smes,2026-Q1,213,anonymous hashtags show fair prices product availability delivery reliability in Kisumu; growth_smes are searching and evaluating options; complaints delays and unmet need,135,53,9,17,18,1466,72,6,13,0,8,22,148,0,Unmet demand,0.5002,0.6409,0.6409,1.0,1.0,1.0,1.0,0.4672,stable
agg-00055,Kenya,Kisumu,retail,urban_youth,2026-Q1,314,anonymous hashtags show fair prices product availability delivery reliability in Kisumu; urban_youth are searching and evaluating options; complaints delays and unmet need,84,18,10,2,6,1620,100,16,22,2,5,10,151,0,Low demand,0.4088,0.5935,0.5935,1.0,1.0,0.9953,0.8122,0.452,stable
agg-00056,Kenya,Kisumu,retail,rural_producers,2026-Q1,270,anonymous hashtags show fair prices product availability delivery reliability in Kisumu; rural_producers are searching and evaluating options; complaints delays and unmet need,144,43,13,4,14,2185,98,18,22,0,8,9,54,1,Low demand,0.4115,0.4296,0.4296,0.4904,0.4904,0.6056,0.9843,0.3956,stable
agg-00057,Kenya,Kisumu,transport,budget_seekers,2026-Q1,183,anonymous hashtags show route reliability parcel tracking last mile access in Kisumu; budget_seekers are searching and evaluating options; complaints delays and unmet need,70,37,5,3,3,837,28,1,4,1,2,8,93,0,Low demand,0.3537,0.5373,0.5373,1.0,1.0,1.0,0.7414,0.3938,stable
agg-00058,Kenya,Kisumu,transport,growth_smes,2026-Q1,109,county-level comments discuss route reliability parcel tracking last mile access in Kisumu; growth_smes are searching and evaluating options; complaints delays and unmet need,39,8,5,5,7,965,45,2,7,1,6,9,99,0,Unmet demand,0.4577,0.634,0.634,1.0,1.0,1.0,1.0,0.4671,stable
agg-00059,Kenya,Kisumu,transport,urban_youth,2026-Q1,262,aggregate posts mention route reliability parcel tracking last mile access in Kisumu; urban_youth are searching and evaluating options; positive discovery and saves,111,58,12,11,18,1701,44,9,6,1,6,12,29,1,Low demand,0.5085,0.3943,0.3943,0.3528,0.3528,0.4321,1.0,0.4293,stable
agg-00060,Kenya,Kisumu,transport,rural_producers,2026-Q1,318,anonymous hashtags show route reliability parcel tracking last mile access in Kisumu; rural_producers are searching and evaluating options; complaints delays and unmet need,112,26,17,7,22,2348,57,6,8,4,8,7,198,0,Low demand,0.405,0.5666,0.5666,1.0,1.0,0.9638,0.8825,0.3904,stable
agg-00061,Kenya,Nakuru,agri_inputs,budget_seekers,2026-Q1,106,aggregate posts mention seed quality fertilizer access harvest timing farm input supply in Nakuru; budget_seekers are searching and evaluating options; complaints delays and unmet need,27,7,3,3,5,837,16,1,1,0,1,4,55,0,Low demand,0.357,0.5385,0.5385,1.0,1.0,1.0,0.8546,0.5829,stable
agg-00062,Kenya,Nakuru,agri_inputs,growth_smes,2026-Q1,196,aggregate posts mention seed quality fertilizer access harvest timing farm input supply in Nakuru; growth_smes are searching and evaluating options; complaints delays and unmet need,255,50,30,33,20,2117,51,8,3,2,4,45,177,3,Unmet demand,0.5495,0.6146,0.6146,0.894,0.894,0.8556,0.9862,0.5962,stable
agg-00063,Kenya,Nakuru,agri_inputs,urban_youth,2026-Q1,86,aggregate posts mention seed quality fertilizer access harvest timing farm input supply in Nakuru; urban_youth are searching and evaluating options; positive discovery and saves,47,10,8,6,2,697,14,2,1,0,1,10,13,0,Low demand,0.5137,0.3884,0.3884,0.3309,0.3309,0.3761,1.0,0.4327,stable
agg-00064,Kenya,Nakuru,agri_inputs,rural_producers,2026-Q1,260,anonymous hashtags show seed quality fertilizer access harvest timing farm input supply in Nakuru; rural_producers are ready to buy comparing suppliers; complaints delays and unmet need,195,79,8,25,28,2298,84,13,18,0,11,52,89,0,Low demand,0.4933,0.5036,0.5036,0.6138,0.6138,0.6606,0.9659,0.4669,stable
agg-00065,Kenya,Nakuru,clean_energy,budget_seekers,2026-Q1,91,county-level comments discuss solar kits battery replacement repair support reliable power in Nakuru; budget_seekers are searching and evaluating options; complaints delays and unmet need,78,36,7,11,3,718,31,4,7,0,1,20,79,0,Unmet demand,0.4836,0.6334,0.6334,1.0,1.0,0.9436,0.9382,0.5225,stable
agg-00066,Kenya,Nakuru,clean_energy,growth_smes,2026-Q1,159,county-level comments discuss solar kits battery replacement repair support reliable power in Nakuru; growth_smes are searching and evaluating options; complaints delays and unmet need,125,28,17,11,12,1203,48,8,9,3,7,18,54,0,Moderate demand,0.5231,0.4965,0.4965,0.562,0.562,0.6462,1.0,0.4208,stable
agg-00067,Kenya,Nakuru,clean_energy,urban_youth,2026-Q1,238,anonymous hashtags show solar kits battery replacement repair support reliable power in Nakuru; urban_youth are ready to buy comparing suppliers; complaints delays and unmet need,243,110,29,27,31,2562,108,23,12,5,17,62,176,2,Unmet demand,0.5265,0.6547,0.6547,0.9419,0.9419,0.9155,0.9273,0.415,stable
agg-00068,Kenya,Nakuru,clean_energy,rural_producers,2026-Q1,165,aggregate posts mention solar kits battery replacement repair support reliable power in Nakuru; rural_producers are searching and evaluating options; complaints delays and unmet need,160,56,16,22,31,1755,68,12,14,2,5,42,113,1,Unmet demand,0.4988,0.6273,0.6273,0.9227,0.9227,0.9949,1.0,0.4917,stable
agg-00069,Kenya,Nakuru,digital_services,budget_seekers,2026-Q1,264,aggregate posts mention online payments analytics dashboard mobile onboarding in Nakuru; budget_seekers are ready to buy comparing suppliers; positive discovery and saves,119,33,16,11,7,1162,139,26,36,3,11,27,22,0,Moderate demand,0.5358,0.4401,0.4401,0.2593,0.2593,0.2924,0.9742,0.4849,stable
agg-00070,Kenya,Nakuru,digital_services,growth_smes,2026-Q1,315,aggregate posts mention online payments analytics dashboard mobile onboarding in Nakuru; growth_smes are ready to buy comparing suppliers; complaints delays and unmet need,634,131,74,39,55,3844,53,6,4,5,10,187,232,0,Moderate demand,0.6597,0.5063,0.5063,0.4686,0.4686,0.5654,1.0,0.3846,stable
agg-00071,Kenya,Nakuru,digital_services,urban_youth,2026-Q1,117,anonymous hashtags show online payments analytics dashboard mobile onboarding in Nakuru; urban_youth are searching and evaluating options; positive discovery and saves,47,21,5,2,8,502,28,5,2,0,2,8,9,0,Moderate demand,0.5644,0.3964,0.3964,0.2423,0.2423,0.3594,1.0,0.5336,stable
agg-00072,Kenya,Nakuru,digital_services,rural_producers,2026-Q1,99,aggregate posts mention online payments analytics dashboard mobile onboarding in Nakuru; rural_producers are searching and evaluating options; complaints delays and unmet need,164,53,8,6,18,1173,30,1,3,0,2,14,102,0,Unmet demand,0.5641,0.6076,0.6076,0.8302,0.8302,0.7509,0.9694,0.4129,stable
agg-00073,Kenya,Nakuru,retail,budget_seekers,2026-Q1,276,anonymous hashtags show fair prices product availability delivery reliability in Nakuru; budget_seekers are searching and evaluating options; complaints delays and unmet need,154,55,13,11,28,2017,41,2,10,1,2,19,78,0,Declining demand,0.3346,0.4125,0.4125,0.6623,0.6623,0.7547,0.7552,0.3795,falling
agg-00074,Kenya,Nakuru,retail,growth_smes,2026-Q1,305,aggregate posts mention fair prices product availability delivery reliability in Nakuru; growth_smes are searching and evaluating options; complaints delays and unmet need,117,51,7,11,15,2396,123,24,13,0,7,20,257,0,Low demand,0.4483,0.6278,0.6278,1.0,1.0,0.9936,1.0,0.4058,stable
agg-00075,Kenya,Nakuru,retail,urban_youth,2026-Q1,104,anonymous hashtags show fair prices product availability delivery reliability in Nakuru; urban_youth are searching and evaluating options; positive discovery and saves,131,68,17,11,13,1077,23,4,1,1,4,32,31,1,Low demand,0.5106,0.391,0.391,0.3122,0.3122,0.2615,1.0,0.4472,stable
agg-00076,Kenya,Nakuru,retail,rural_producers,2026-Q1,180,aggregate posts mention fair prices product availability delivery reliability in Nakuru; rural_producers are searching and evaluating options; complaints delays and unmet need,39,10,4,5,6,1125,57,4,7,0,7,5,133,0,Low demand,0.3733,0.5762,0.5762,1.0,1.0,1.0,0.9946,0.5713,stable
agg-00077,Kenya,Nakuru,transport,budget_seekers,2026-Q1,139,anonymous hashtags show route reliability parcel tracking last mile access in Nakuru; budget_seekers are searching and evaluating options; complaints delays and unmet need,37,16,2,4,2,428,22,3,2,0,1,5,56,0,Low demand,0.4146,0.5675,0.5675,1.0,1.0,1.0,0.9314,0.4583,stable
agg-00078,Kenya,Nakuru,transport,growth_smes,2026-Q1,111,county-level comments discuss route reliability parcel tracking last mile access in Nakuru; growth_smes are searching and evaluating options; complaints delays and unmet need,74,31,7,4,7,876,35,4,8,0,5,7,88,0,Unmet demand,0.493,0.6334,0.6334,1.0,1.0,1.0,1.0,0.5912,stable
agg-00079,Kenya,Nakuru,transport,urban_youth,2026-Q1,290,county-level comments discuss route reliability parcel tracking last mile access in Nakuru; urban_youth are searching and evaluating options; complaints delays and unmet need,325,75,34,36,50,2546,60,10,11,4,4,42,237,1,Unmet demand,0.572,0.6327,0.6327,0.9437,0.9437,0.8721,1.0,0.4236,stable
agg-00080,Kenya,Nakuru,transport,rural_producers,2026-Q1,251,aggregate posts mention route reliability parcel tracking last mile access in Nakuru; rural_producers are searching and evaluating options; complaints delays and unmet need,93,25,5,6,10,1703,53,5,4,1,6,7,182,0,Low demand,0.3848,0.5627,0.5627,1.0,1.0,1.0,0.9825,0.5394,stable
